,0GtC,,,1280GtC,,,2560GtC,,,3840GtC,,,5120GtC,,
Year (AD),SAT (°C),Emissions (GtC/yr),pCO2 (ppm),SAT (°C),Emissions (GtC/yr),pCO2 (ppm),SAT (°C),Emissions (GtC/yr),pCO2 (ppm),SAT (°C),Emissions (GtC/yr),pCO2 (ppm),SAT (°C),Emissions (GtC/yr),pCO2 (ppm)
1796.5,13.293,0.506,284.208,13.293,0.506,284.208,13.293,0.506,284.208,13.297,0.506,284.137,13.293,0.506,284.208
1797.5,13.287,0.507,284.154,13.287,0.507,284.154,13.287,0.507,284.154,13.298,0.507,284.092,13.287,0.507,284.154
1798.5,13.295,0.507,284.168,13.295,0.507,284.168,13.295,0.507,284.168,13.306,0.507,284.121,13.295,0.507,284.168
1799.5,13.299,0.507,284.216,13.299,0.507,284.216,13.299,0.507,284.216,13.311,0.507,284.184,13.299,0.507,284.216
1800.5,13.302,0.508,284.286,13.302,0.508,284.286,13.302,0.508,284.286,13.316,0.508,284.268,13.302,0.508,284.286
1801.5,13.294,0.508,284.334,13.294,0.508,284.334,13.294,0.508,284.334,13.306,0.508,284.332,13.294,0.508,284.334
1802.5,13.299,0.510,284.350,13.299,0.510,284.350,13.299,0.510,284.350,13.310,0.510,284.362,13.299,0.510,284.350
1803.5,13.304,0.509,284.411,13.304,0.509,284.411,13.304,0.509,284.411,13.317,0.509,284.437,13.304,0.509,284.411
1804.5,13.280,0.509,284.441,13.280,0.509,284.441,13.280,0.509,284.441,13.290,0.509,284.480,13.280,0.509,284.441
1805.5,13.282,0.509,284.399,13.282,0.509,284.399,13.282,0.509,284.399,13.288,0.509,284.449,13.282,0.509,284.399
1806.5,13.293,0.510,284.438,13.293,0.510,284.438,13.293,0.510,284.438,13.294,0.510,284.491,13.293,0.510,284.438
1807.5,13.298,0.510,284.506,13.298,0.510,284.506,13.298,0.510,284.506,13.295,0.510,284.559,13.298,0.510,284.506
